brand_name,ratingCount
ROADSTER,214
ROADSTER,323
ROADSTER,592
ROADSTER,3406
ROADSTER,1925
ROADSTER,133
ROADSTER,184.2254362
ROADSTER,633
ROADSTER,14
ROADSTER,752
ROADSTER,103
ROADSTER,147
ROADSTER,15
ROADSTER,633
ROADSTER,27
ROADSTER,188
ROADSTER,38
ROADSTER,131
ROADSTER,34
ROADSTER,6
ROADSTER,184.2254362
ROADSTER,8
ROADSTER,683
ROADSTER,184.2254362
ROADSTER,152
ROADSTER,539
ROADSTER,9
ROADSTER,417
ROADSTER,158
ROADSTER,170
ROADSTER,9
ROADSTER,184.2254362
ROADSTER,351
ROADSTER,184.2254362
ROADSTER,509
ROADSTER,55
ROADSTER,13
ROADSTER,91
ROADSTER,9
ROADSTER,5
ROADSTER,9
ROADSTER,151
ROADSTER,184.2254362
ROADSTER,16
ROADSTER,10
ROADSTER,2259
ROADSTER,13
ROADSTER,184.2254362
ROADSTER,47
ROADSTER,184.2254362
ROADSTER,1132
ROADSTER,237
ROADSTER,184.2254362
ROADSTER,15
ROADSTER,5
ROADSTER,228
ROADSTER,135
ROADSTER,10
ROADSTER,3
ROADSTER,5
ROADSTER,302
ROADSTER,28
ROADSTER,669
ROADSTER,4
ROADSTER,10
ROADSTER,57
ROADSTER,26
ROADSTER,1258
ROADSTER,21
ROADSTER,14
ROADSTER,181
ROADSTER,71
ROADSTER,138
ROADSTER,146
ROADSTER,1118
ROADSTER,19
ROADSTER,5
ROADSTER,22
ROADSTER,184.2254362
ROADSTER,12
ROADSTER,10
ROADSTER,184.2254362
ROADSTER,184.2254362
ROADSTER,85
ROADSTER,18
ROADSTER,664
ROADSTER,101
ROADSTER,6
ROADSTER,5
ROADSTER,184.2254362
ROADSTER,184.2254362
ROADSTER,1174
ROADSTER,1776
ROADSTER,62
ROADSTER,184.2254362
ROADSTER,184.2254362
ROADSTER,14
ROADSTER,315
ROADSTER,193
ROADSTER,184.2254362
ROADSTER,47
ROADSTER,1161
ROADSTER,13
ROADSTER,1097
ROADSTER,184.2254362
ROADSTER,184.2254362
ROADSTER,17
ROADSTER,24
ROADSTER,14
ROADSTER,100
ROADSTER,2222
ROADSTER,18
ROADSTER,22
ROADSTER,111
ROADSTER,173
ROADSTER,322
ROADSTER,36
ROADSTER,32
ROADSTER,118
ROADSTER,184.2254362
ROADSTER,24
ROADSTER,55
ROADSTER,2
ROADSTER,196
ROADSTER,1898
ROADSTER,131
ROADSTER,1524
ROADSTER,6
ROADSTER,171
ROADSTER,184.2254362
ROADSTER,17
ROADSTER,112
ROADSTER,40
ROADSTER,34
ROADSTER,15
ROADSTER,1655
ROADSTER,165
ROADSTER,397
ROADSTER,197
ROADSTER,6
ROADSTER,22
ROADSTER,42
ROADSTER,109
ROADSTER,6
ROADSTER,184.2254362
ROADSTER,10
ROADSTER,184.2254362
ROADSTER,8
ROADSTER,184.2254362
ROADSTER,103
ROADSTER,184.2254362
ROADSTER,4
ROADSTER,24
ROADSTER,184.2254362
ROADSTER,118
ROADSTER,184.2254362
ROADSTER,16
ROADSTER,633
ROADSTER,184.2254362
ROADSTER,184.2254362
ROADSTER,184.2254362
ROADSTER,184.2254362
ROADSTER,184.2254362
ROADSTER,184.2254362
ROADSTER,58
ROADSTER,149
ROADSTER,34
ROADSTER,6
ROADSTER,100
ROADSTER,184.2254362
ROADSTER,157
ROADSTER,5
ROADSTER,184.2254362
ROADSTER,62
ROADSTER,184.2254362
ROADSTER,239
ROADSTER,45
ROADSTER,184.2254362
ROADSTER,27
ROADSTER,296
ROADSTER,22
ROADSTER,184.2254362
ROADSTER,184.2254362
ROADSTER,214
ROADSTER,184.2254362
ROADSTER,121
ROADSTER,30
ROADSTER,23
ROADSTER,7
ROADSTER,6
ROADSTER,184.2254362
ROADSTER,1602
ROADSTER,46
ROADSTER,20
ROADSTER,362
ROADSTER,26
ROADSTER,19
ROADSTER,417
ROADSTER,460
ROADSTER,7
ROADSTER,325
ROADSTER,26
ROADSTER,36
ROADSTER,2
ROADSTER,184.2254362
ROADSTER,27
ROADSTER,36
ROADSTER,108
ROADSTER,7
ROADSTER,38
ROADSTER,184.2254362
ROADSTER,184.2254362
ROADSTER,10
ROADSTER,189
ROADSTER,168
ROADSTER,184.2254362
ROADSTER,184.2254362
ROADSTER,184.2254362
ROADSTER,22
ROADSTER,206
ROADSTER,184.2254362
ROADSTER,64
ROADSTER,107
ROADSTER,177
ROADSTER,1406
ROADSTER,52
ROADSTER,184.2254362
ROADSTER,184.2254362
ROADSTER,15
ROADSTER,6
ROADSTER,45
ROADSTER,184.2254362
ROADSTER,34
ROADSTER,184.2254362
ROADSTER,10
ROADSTER,40
ROADSTER,44
ROADSTER,42
ROADSTER,184.2254362
ROADSTER,10
ROADSTER,73
ROADSTER,22
ROADSTER,27
ROADSTER,48
ROADSTER,343
ROADSTER,62
ROADSTER,29
ROADSTER,9
ROADSTER,22
ROADSTER,184.2254362
ROADSTER,36
ROADSTER,57
ROADSTER,664
ROADSTER,148
ROADSTER,46
ROADSTER,269
ROADSTER,52
ROADSTER,21
ROADSTER,345
ROADSTER,46
ROADSTER,11
ROADSTER,184.2254362
ROADSTER,176
ROADSTER,15
ROADSTER,3557
ROADSTER,34
ROADSTER,38
ROADSTER,28
ROADSTER,44
ROADSTER,38
ROADSTER,716
ROADSTER,46
ROADSTER,29
ROADSTER,137
ROADSTER,75
ROADSTER,14
ROADSTER,107
ROADSTER,127
ROADSTER,215
ROADSTER,86
ROADSTER,260
ROADSTER,539
ROADSTER,447
ROADSTER,24
ROADSTER,459
ROADSTER,213
ROADSTER,38
ROADSTER,297
ROADSTER,41
ROADSTER,29
ROADSTER,145
ROADSTER,113
ROADSTER,183
ROADSTER,38
ROADSTER,47
ROADSTER,1223
ROADSTER,17
ROADSTER,246
ROADSTER,219
ROADSTER,52
ROADSTER,30
ROADSTER,49
ROADSTER,118
ROADSTER,33
ROADSTER,171
ROADSTER,16
ROADSTER,876
ROADSTER,23
ROADSTER,554
ROADSTER,670
ROADSTER,32
ROADSTER,56
ROADSTER,5
ROADSTER,7
ROADSTER,8
ROADSTER,9
ROADSTER,241
ROADSTER,1924
ROADSTER,44
ROADSTER,12
INDDUS,145
INDDUS,636
INDDUS,580
INDDUS,184.2254362
INDDUS,1644
INDDUS,35
INDDUS,17
INDDUS,8
INDDUS,40
INDDUS,184.2254362
INDDUS,1590
INDDUS,1327
INDDUS,184.2254362
INDDUS,198
INDDUS,184.2254362
INDDUS,74
INDDUS,184.2254362
INDDUS,150
INDDUS,184.2254362
INDDUS,109
INDDUS,184.2254362
INDDUS,184.2254362
INDDUS,29
INDDUS,6
INDDUS,503
INDDUS,25
INDDUS,396
INDDUS,1200
INDDUS,15
INDDUS,361
INDDUS,527
INDDUS,483
INDDUS,13
INDDUS,2
INDDUS,193
INDDUS,184.2254362
INDDUS,23
INDDUS,602
INDDUS,184.2254362
INDDUS,4
INDDUS,184.2254362
INDDUS,15
INDDUS,14
INDDUS,184.2254362
INDDUS,8
INDDUS,184.2254362
INDDUS,184.2254362
INDDUS,18
INDDUS,26
INDDUS,184.2254362
INDDUS,184.2254362
INDDUS,190
INDDUS,184.2254362
INDDUS,6
INDDUS,41
INDDUS,266
INDDUS,184.2254362
INDDUS,184.2254362
INDDUS,202
INDDUS,184.2254362
INDDUS,184.2254362
INDDUS,334
INDDUS,39
INDDUS,16
INDDUS,38
INDDUS,879
INDDUS,184.2254362
INDDUS,17
INDDUS,6
INDDUS,21
INDDUS,30
INDDUS,13
INDDUS,14
INDDUS,29
INDDUS,12
INDDUS,184.2254362
INDDUS,184.2254362
INDDUS,174
INDDUS,11
INDDUS,5
INDDUS,184.2254362
INDDUS,184.2254362
INDDUS,13
INDDUS,4
INDDUS,2
INDDUS,5
INDDUS,16
SASSAFRAS,9124
SASSAFRAS,7358
SASSAFRAS,4458
SASSAFRAS,19656
SASSAFRAS,2111
SASSAFRAS,6150
SASSAFRAS,607
SASSAFRAS,411
SASSAFRAS,7252
SASSAFRAS,10786
SASSAFRAS,701
SASSAFRAS,3845
SASSAFRAS,419
SASSAFRAS,2699
SASSAFRAS,135
SASSAFRAS,273
SASSAFRAS,4972
SASSAFRAS,203
SASSAFRAS,1885
SASSAFRAS,459
SASSAFRAS,3026
SASSAFRAS,181
SASSAFRAS,15
SASSAFRAS,78
SASSAFRAS,18
SASSAFRAS,218
SASSAFRAS,657
SASSAFRAS,1266
SASSAFRAS,49
SASSAFRAS,1408
SASSAFRAS,112
SASSAFRAS,1953
SASSAFRAS,48
SASSAFRAS,281
SASSAFRAS,632
SASSAFRAS,191
SASSAFRAS,65
SASSAFRAS,219
SASSAFRAS,255
SASSAFRAS,66
SASSAFRAS,395
SASSAFRAS,1475
SASSAFRAS,640
SASSAFRAS,17
SASSAFRAS,184.2254362
SASSAFRAS,22
SASSAFRAS,259
SASSAFRAS,480
SASSAFRAS,1109
SASSAFRAS,115
SASSAFRAS,1964
SASSAFRAS,583
SASSAFRAS,19
SASSAFRAS,4876
SASSAFRAS,17
SASSAFRAS,184.2254362
SASSAFRAS,742
SASSAFRAS,327
SASSAFRAS,5
SASSAFRAS,243
SASSAFRAS,59
SASSAFRAS,80
SASSAFRAS,137
SASSAFRAS,52
SASSAFRAS,62
SASSAFRAS,187
SASSAFRAS,161
SASSAFRAS,8
SASSAFRAS,47
SASSAFRAS,64
SASSAFRAS,235
SASSAFRAS,3
SASSAFRAS,25
SASSAFRAS,54
SASSAFRAS,77
SASSAFRAS,184.2254362
SASSAFRAS,36
SASSAFRAS,18
SASSAFRAS,12
SASSAFRAS,9
SASSAFRAS,12
SASSAFRAS,179
SASSAFRAS,32
SASSAFRAS,56
SASSAFRAS,3390
SASSAFRAS,91
SASSAFRAS,22
SASSAFRAS,6
SASSAFRAS,83
SASSAFRAS,1933
SASSAFRAS,577
SASSAFRAS,55
SASSAFRAS,184.2254362
SASSAFRAS,9
SASSAFRAS,16
SASSAFRAS,871
SASSAFRAS,5
SASSAFRAS,109
SASSAFRAS,48
SASSAFRAS,320
SASSAFRAS,322
SASSAFRAS,56
SASSAFRAS,13
SASSAFRAS,10
SASSAFRAS,46
SASSAFRAS,253
SASSAFRAS,184.2254362
SASSAFRAS,3531
SASSAFRAS,7
SASSAFRAS,26
SASSAFRAS,8
SASSAFRAS,9
SASSAFRAS,15
SASSAFRAS,218
SASSAFRAS,10
SASSAFRAS,31
SASSAFRAS,240
SASSAFRAS,16
SASSAFRAS,15
SASSAFRAS,35
SASSAFRAS,13
SASSAFRAS,9
SASSAFRAS,40
SASSAFRAS,1846
SASSAFRAS,6
SASSAFRAS,115
SASSAFRAS,42
SASSAFRAS,12
SASSAFRAS,16
SASSAFRAS,4
SASSAFRAS,184.2254362
SASSAFRAS,7
SASSAFRAS,30
SASSAFRAS,130
SASSAFRAS,31
SASSAFRAS,6
SASSAFRAS,141
SASSAFRAS,37
SASSAFRAS,12
SASSAFRAS,540
SASSAFRAS,184.2254362
SASSAFRAS,5
SASSAFRAS,790
SASSAFRAS,7
SASSAFRAS,148
SASSAFRAS,6
SASSAFRAS,6
SASSAFRAS,55
SASSAFRAS,51
SASSAFRAS,184.2254362
SASSAFRAS,46
SASSAFRAS,25
SASSAFRAS,47
SASSAFRAS,70
SASSAFRAS,55
SASSAFRAS,128
SASSAFRAS,184.2254362
SASSAFRAS,184.2254362
SASSAFRAS,184.2254362
SASSAFRAS,184.2254362
SASSAFRAS,56
SASSAFRAS,31
SASSAFRAS,16
SASSAFRAS,184.2254362
SASSAFRAS,15
SASSAFRAS,184.2254362
SASSAFRAS,109
SASSAFRAS,85
SASSAFRAS,7
SASSAFRAS,5
SASSAFRAS,62
SASSAFRAS,23
SASSAFRAS,25
SASSAFRAS,104
SASSAFRAS,6
SASSAFRAS,184.2254362
SASSAFRAS,15
SASSAFRAS,13
SASSAFRAS,6
SASSAFRAS,8
SASSAFRAS,184.2254362
SASSAFRAS,21
SASSAFRAS,147
SASSAFRAS,27
SASSAFRAS,27
SASSAFRAS,184.2254362
SASSAFRAS,78
SASSAFRAS,184.2254362
SASSAFRAS,26
SASSAFRAS,10
SASSAFRAS,344
SASSAFRAS,2677
SASSAFRAS,184.2254362
SASSAFRAS,49
SASSAFRAS,38
SASSAFRAS,311
SASSAFRAS,130
SASSAFRAS,75
SASSAFRAS,20
SASSAFRAS,184.2254362
SASSAFRAS,184.2254362
SASSAFRAS,184.2254362
SASSAFRAS,184.2254362
SASSAFRAS,47
SASSAFRAS,33
SASSAFRAS,175
SASSAFRAS,219
SASSAFRAS,62
SASSAFRAS,9
SASSAFRAS,22
SASSAFRAS,10
SASSAFRAS,184.2254362
SASSAFRAS,6
SASSAFRAS,184.2254362
SASSAFRAS,5
SASSAFRAS,19
SASSAFRAS,32
SASSAFRAS,36
SASSAFRAS,6
SASSAFRAS,15
SASSAFRAS,36
SASSAFRAS,22
SASSAFRAS,244
SASSAFRAS,715
SASSAFRAS,6
SASSAFRAS,184.2254362
SASSAFRAS,57
SASSAFRAS,184.2254362
SASSAFRAS,184.2254362
SASSAFRAS,24
SASSAFRAS,554
SASSAFRAS,28
SASSAFRAS,111
SASSAFRAS,8
SASSAFRAS,11
SASSAFRAS,184.2254362
SASSAFRAS,7
SASSAFRAS,184.2254362
SASSAFRAS,19
SASSAFRAS,184.2254362
SASSAFRAS,101
SASSAFRAS,184.2254362
KOTTY,12260
KOTTY,18
KOTTY,5771
KOTTY,2682
KOTTY,7
KOTTY,184.2254362
KOTTY,184.2254362
KOTTY,184.2254362
KOTTY,184.2254362
KOTTY,21
KOTTY,184.2254362
KOTTY,184.2254362
KOTTY,184.2254362
KOTTY,184.2254362
KOTTY,184.2254362
KOTTY,184.2254362
KOTTY,13
KOTTY,12
KASSUALLY,6297
KASSUALLY,2687
KASSUALLY,8
KASSUALLY,9
KASSUALLY,5069
KASSUALLY,32
KASSUALLY,184.2254362
KASSUALLY,14
KASSUALLY,177
KASSUALLY,68
KASSUALLY,166
KASSUALLY,184.2254362
KASSUALLY,184.2254362
KASSUALLY,10
KASSUALLY,184.2254362
KASSUALLY,184.2254362
KASSUALLY,581
KASSUALLY,21
KASSUALLY,184.2254362
KASSUALLY,184.2254362
KASSUALLY,110
KASSUALLY,184.2254362
KASSUALLY,184.2254362
KASSUALLY,184.2254362
KASSUALLY,15
KASSUALLY,184.2254362
KASSUALLY,22
KASSUALLY,184.2254362
KASSUALLY,184.2254362
KASSUALLY,184.2254362
KASSUALLY,14
KASSUALLY,61
KASSUALLY,184.2254362
KASSUALLY,28
KASSUALLY,184.2254362
KASSUALLY,184.2254362
KASSUALLY,5
KASSUALLY,184.2254362
KASSUALLY,184.2254362
KASSUALLY,25
KASSUALLY,874
KASSUALLY,306
KASSUALLY,184.2254362
KASSUALLY,179
KASSUALLY,7
KASSUALLY,4
KASSUALLY,6
KASSUALLY,4
KASSUALLY,7
KASSUALLY,11
KASSUALLY,184.2254362
KASSUALLY,17
KASSUALLY,184.2254362
KASSUALLY,261
KASSUALLY,107
KASSUALLY,184.2254362
KASSUALLY,184.2254362
KASSUALLY,85
